id,is_iceberg
5941774d,0.016455
4023181e,0.404991
b20200e4,0.000001
e7f018bb,0.999509
4371c8c3,0.074289
a8d9b1fd,0.082405
29e7727e,0.001177
92a51ffb,0.999978
c769ac97,0.000000
aee0547d,0.000000
565b28ac,0.000000
e04e9775,0.124353
8e8161d1,0.000008
4cf4d256,0.155216
139e5324,0.010557
f156976f,0.000385
68a117cc,0.008328
d9aa7a56,0.175558
9005b143,0.035335
5f6d3988,0.997509
9ad70954,0.046012
b9087b9e,0.359620
a39a1427,0.048990
82fbe8ed,0.015852
1fae4879,0.000000
6dd8f13d,0.000101
bbad5958,0.077825
54527583,0.005434
be8fa29c,0.116634
81a3328f,0.999956
1a3c0ab3,0.000000
4deeeb8b,0.691408
ac6d5632,0.269276
472dadb5,0.018504
96093f95,0.935377
f5b4e3df,0.952348
e01a3c92,0.007706
001680af,0.073656
8e639f33,0.190214
a2c16612,0.953956
a6d76474,0.000000
19c47684,0.108098
015827b6,0.163894
7df7f7ce,0.050585
0bbf1a3f,0.354160
636cfbb7,0.920852
7370030a,0.999880
43aa97ad,0.000000
ba2b5e63,0.999903
dfdd335b,0.316998
e79b13dc,0.005226
dc32b195,0.024240
6d868590,0.999437
75fa59aa,0.041201
ffe50836,0.165935
a7bfd784,0.988402
b3d569e3,0.002702
6c538c5b,0.015691
5c7c15f4,0.001345
0b745139,0.024456
fd14608e,0.028751
f0bc8305,0.104612
a10ccb28,0.999936
543304c7,0.084517
6c3a4078,0.000000
9b73cc75,0.161731
5c6c71b1,0.080750
09ee9186,0.350961
207c35cf,0.074322
153c813e,0.000000
5605d58b,0.638062
642ca396,0.014944
d32d72c0,0.071137
16646a17,0.997738
384074af,0.242500
69bf1e8c,0.230090
9e90a054,0.183453
89dbe7f7,0.999932
dbd27d22,0.252752
a2ea1561,0.204219
d63402af,0.143584
1ac8bb92,0.999582
8beffca5,0.022985
46741f3e,0.000022
e5ee6aa7,0.001061
5ecd892b,0.751013
69892166,0.039922
2f725a81,0.340071
810abfe4,0.000001
e6f973e6,0.092967
c60a5c46,0.096754
c42b9e08,0.586235
c3f00c23,0.023181
5307fdb8,0.999355
3e4f005e,0.000765
4a4cc2e0,0.833140
9bdd88d1,0.000000
0d832bed,0.004715
14a134fa,0.052293
78a41676,0.000001
0bd4658e,0.253803
4a311bb0,0.262944
f939c817,0.027257
956adc4d,0.999779
f8a119f5,0.147547
61faa1ad,0.190811
6725eb3e,0.030332
17b3a8fd,0.000135
49a88dfc,0.000000
2d6ec645,0.105157
0d4d77ba,0.090247
3ee672a2,0.999994
738b41fd,0.093129
f7fb320d,0.400228
b42fad18,0.000000
4ab8b00a,0.411493
f7870f2b,0.305656
4978666a,0.144810
f1b0d6c7,0.000092
5642407f,0.001742
36d4ff92,0.999411
4139aba2,0.133389
7585ce58,0.781999
33e25984,0.999997
ac46f3c9,0.115344
fc34a5b8,0.741303
85c36a8f,0.396371
b2d8a426,0.144330
13ec60d1,0.798675
9d440f42,0.056278
1c0a891e,0.405982
981c3bc3,1.000000
295604f4,0.111942
16ca16c3,0.027768
b4dda837,0.313673
88d088ef,0.000914
1b4fa160,0.103546
f371bd82,0.000000
b130a0b7,0.999916
ebf1de82,0.071593
01e651c3,0.019540
51b1fecc,0.411672
fa635a31,0.000000
97b7d789,0.030293
2f598053,0.004980
c0e3e148,0.190008
cfa175a8,0.097952
3d7e09d8,0.863641
44a13d1b,0.995611
c66b0948,0.294554
976a6d64,0.159256
8bbd8909,0.225953
522890fd,0.265561
f23a3b95,0.091001
680039dc,0.355272
93028e53,0.036624
22a16932,0.118939
7d8126d2,0.002160
ba2ecd75,0.000000
8071bdd7,0.113559
96d5aeee,0.000000
154be68f,0.986720
d8c2bfe2,0.998512
f76d47b0,0.484281
0e781ade,0.001596
13cf6060,0.000000
cd99f710,0.158283
d10005bb,0.000009
3a31445f,0.997557
3157202d,0.000702
6ee64703,0.140359
e5de8685,0.107286
02cc70ba,0.008506
50984a87,0.595546
fa94957a,0.988587
eab406b4,0.495775
3ad39398,0.757866
9ecf3802,0.147913
6048ae7b,0.000000
9dc68871,0.000001
13701465,0.323658
8d8779f3,0.000000
0712f269,0.099959
722c2597,0.000000
478a2b08,0.088012
38f5fb41,0.132405
c52ad74d,0.999970
0c85fd09,0.000000
f1582cba,0.928092
ff836697,0.988255
ddfe4802,0.000051
3cef3bc7,0.996842
6a21542b,0.331377
150e23c4,0.999747
078c6d99,0.996585
1dcd1dc3,0.002306
39967e45,0.364804
6b6333aa,0.000017
4ae61433,0.025616
f96362e0,0.058838
97a88aac,0.020446
427ae8ce,0.023075
