Id,SalePrice
1461,120825.90796607264
1462,154912.68493882118
1463,178425.4177850592
1464,193226.79246792968
1465,199412.652023858
1466,172060.29951100732
1467,177103.44561112006
1468,161802.64765845658
1469,199633.36960947167
1470,117229.82843228414
1471,200630.4807544403
1472,99391.11229337358
1473,97167.97948265132
1474,147930.88215735657
1475,115002.20417566501
1476,351048.02073854994
1477,239720.20355724715
1478,303113.60434740473
1479,286942.655810321
1480,453837.3399596551
1481,303187.1823235832
1482,210019.9888400866
1483,180248.36933155093
1484,167725.193413253
1485,199323.44223481117
1486,198667.15013523007
1487,317642.54148283816
1488,233678.62279517276
1489,191164.09029376355
1490,225936.72480336268
1491,195460.56844506794
1492,93795.59467781587
1493,199261.17054148222
1494,283774.24472034024
1495,282243.7065092059
1496,234885.40677222307
1497,178666.85351833017
1498,166105.65511897785
1499,163035.6662262417
1500,152779.6485886285
1501,169447.47802918474
1502,150422.71768967083
1503,270934.41086433874
1504,238658.39866720675
1505,223311.44772612685
1506,193153.4025241222
1507,237928.29094254298
1508,202354.77993510882
1509,163955.9094454103
1510,144073.07539399536
1511,149959.18806786972
1512,175097.92171565548
1513,150697.82756019916
1514,149625.5752837288
1515,196589.40727566695
1516,159228.50625338254
1517,162540.88619859944
1518,133905.808842853
1519,212259.69199943123
1520,127681.96707604083
1521,132887.06078723934
1522,184868.71380178948
1523,108456.6556491157
1524,129327.35279759223
1525,118785.44357479368
1526,114649.08506098132
1527,101655.03760955989
1528,136837.75859521955
1529,147612.07790515246
1530,178943.6531399857
1531,109214.70505858473
1532,100549.16938464908
1533,147992.28473006535
1534,134297.04871086706
1535,156267.78509731608
1536,113231.62058638345
1537,66910.92352192948
1538,150856.85540302112
1539,211166.90737219996
1540,98141.28304226039
1541,146960.19183152358
1542,137869.5884772822
1543,184420.060551608
1544,84797.47999507435
1545,113573.20283949097
1546,137225.28824122864
1547,135331.30603383473
1548,137413.3204430113
1549,116332.5218976407
1550,135350.69761718513
1551,114783.20481775809
1552,135091.19655286046
1553,147578.79230382782
1554,119016.91285932859
1555,165836.50885576112
1556,83742.26583976355
1557,106935.47621954413
1558,97881.48437168468
1559,95820.7440680723
1560,134510.93946389167
1561,126650.59128668033
1562,131421.31688176098
1563,119923.69858096872
1564,159960.21812525735
1565,149896.4171989516
1566,237105.36976114055
1567,76499.10690527226
1568,224458.41146574987
1569,135630.39732902613
1570,145186.44957007375
1571,126574.62712578419
1572,145176.03508446267
